source,target,value
Public Relations and Fundraising Managers,Programming,1.62
Public Relations and Fundraising Managers,Operation Monitoring,1.75
Public Relations and Fundraising Managers,Operation and Control,1.12
Public Relations and Fundraising Managers,Equipment Maintenance,1
Public Relations and Fundraising Managers,Troubleshooting,1
Public Relations and Fundraising Managers,Repairing,1
Public Relations and Fundraising Managers,Quality Control Analysis,1.88
Public Relations and Fundraising Managers,Judgment and Decision Making,3.62
Public Relations and Fundraising Managers,Systems Analysis,3.5
Public Relations and Fundraising Managers,Systems Evaluation,3.5
Public Relations and Fundraising Managers,Time Management,3.62
Public Relations and Fundraising Managers,Management of Financial Resources,3.12
Public Relations and Fundraising Managers,Management of Material Resources,2.62
Public Relations and Fundraising Managers,Management of Personnel Resources,3.38
Administrative Services Managers,Reading Comprehension,3.62
Administrative Services Managers,Active Listening,3.88
Administrative Services Managers,Writing,3.62
Administrative Services Managers,Speaking,4
Administrative Services Managers,Mathematics,2.38
Administrative Services Managers,Science,1.25
Administrative Services Managers,Critical Thinking,3.5
Administrative Services Managers,Active Learning,3.12
Administrative Services Managers,Learning Strategies,2.75
Administrative Services Managers,Monitoring,3.25
Administrative Services Managers,Social Perceptiveness,3.38
Administrative Services Managers,Coordination,3.75
Administrative Services Managers,Persuasion,3
Administrative Services Managers,Negotiation,3.5
Administrative Services Managers,Instructing,3.12
Administrative Services Managers,Service Orientation,3.25
Administrative Services Managers,Complex Problem Solving,3.12
Administrative Services Managers,Operations Analysis,2.5
Administrative Services Managers,Technology Design,1.38
Administrative Services Managers,Equipment Selection,1
Administrative Services Managers,Installation,1
Administrative Services Managers,Programming,1.38
Administrative Services Managers,Operation Monitoring,2.25
Administrative Services Managers,Operation and Control,1.25
Administrative Services Managers,Equipment Maintenance,1
Administrative Services Managers,Troubleshooting,1.75
Administrative Services Managers,Repairing,1
Administrative Services Managers,Quality Control Analysis,2.38
Administrative Services Managers,Judgment and Decision Making,3.38
Administrative Services Managers,Systems Analysis,3.12
Administrative Services Managers,Systems Evaluation,2.75
Administrative Services Managers,Time Management,3.62
Administrative Services Managers,Management of Financial Resources,2.62
Administrative Services Managers,Management of Material Resources,2.75
Administrative Services Managers,Management of Personnel Resources,3.38
Computer and Information Systems Managers,Reading Comprehension,4.25
Computer and Information Systems Managers,Active Listening,4
Computer and Information Systems Managers,Writing,3.88
Computer and Information Systems Managers,Speaking,3.75
Computer and Information Systems Managers,Mathematics,2.75
Computer and Information Systems Managers,Science,2.12
Computer and Information Systems Managers,Critical Thinking,4
Computer and Information Systems Managers,Active Learning,3.25
Computer and Information Systems Managers,Learning Strategies,3.25
Computer and Information Systems Managers,Monitoring,3.88
Computer and Information Systems Managers,Social Perceptiveness,3.62
Computer and Information Systems Managers,Coordination,3.75
Computer and Information Systems Managers,Persuasion,3.12
Computer and Information Systems Managers,Negotiation,3.38
Computer and Information Systems Managers,Instructing,3.5
Computer and Information Systems Managers,Service Orientation,3.12
Computer and Information Systems Managers,Complex Problem Solving,3.88
Computer and Information Systems Managers,Operations Analysis,3.25
Computer and Information Systems Managers,Technology Design,2.5
Computer and Information Systems Managers,Equipment Selection,2.5
Computer and Information Systems Managers,Installation,1.12
Computer and Information Systems Managers,Programming,2.75
Computer and Information Systems Managers,Operation Monitoring,3.12
Computer and Information Systems Managers,Operation and Control,2.38
Computer and Information Systems Managers,Equipment Maintenance,2.25
Computer and Information Systems Managers,Troubleshooting,2.62
Computer and Information Systems Managers,Repairing,2.5
Computer and Information Systems Managers,Quality Control Analysis,2.62
